date,open,high,low,close,move,abs_move,st_dev,avg_move,st_dev_move,pct_move,abs_pct_move,st_dev_pct,st_dev_pct_move,diff,avg_diff,avg_diff_multiple,2_st_dev_move,3_st_dev_move,2_st_dev_pct_move,3_st_dev_pct_move,2_mean_diff,3_mean_diff,2_st_dev_move_price,3_st_dev_move_price,2_st_dev_pct_move_price,3_st_dev_pct_move_price,2_mean_diff_move_price,3_mean_diff_move_price
2016-06-24,1.13847,1.14257,1.09107,1.10827,-0.030370000000000008,0.030370000000000008,0.007187821218533537,0.005264365079365076,4.225202474665349,-0.02667217030843814,0.02667217030843814,0.0064697734677042415,4.1225817938726985,0.0515000000000001,0.010511626984126988,4.89933671331444,1,1,1,1,1,1,1.10827,1.10827,1.10827,1.10827,1.10827,1.10827
2016-11-09,1.10251,1.12988,1.09064,1.09086,-0.01144999999999996,0.01144999999999996,0.006052113354531045,0.004298531746031741,1.8919011144144668,-0.010387277626076115,0.010387277626076115,0.005471732177757901,1.898352713296068,0.03923999999999994,0.009073015873015877,4.3249125262421195,0,0,0,0,1,1,,,,,1.09086,1.09086
2016-12-05,1.06246,1.07957,1.0505,1.0763,0.010240000000000027,0.010240000000000027,0.005689809181963936,0.0041796825396825344,1.799708860616924,0.009605463107142212,0.009605463107142212,0.0051205528162606255,1.8758644724138929,0.02906999999999993,0.00902888888888889,3.219665271966519,0,0,0,0,1,1,,,,,1.0763,1.0763
2016-12-08,1.07518,1.0873,1.05973,1.0612,-0.013980000000000103,0.013980000000000103,0.005737411768057399,0.004210873015873012,2.436638778104211,-0.013002474004352855,0.013002474004352855,0.005167191769362254,2.516352127948533,0.027569999999999872,0.009075674603174603,3.037790710384889,1,0,1,0,1,1,1.0612,,1.0612,,1.0612,1.0612
2018-06-14,1.17849,1.18511,1.15623,1.15654,-0.02263000000000015,0.02263000000000015,0.005546495867569662,0.004409166666666673,4.080053522137764,-0.019191465183137416,0.019191465183137416,0.004653890152012092,4.123746920592884,0.028880000000000017,0.008523968253968258,3.3880933315953152,1,1,1,1,1,1,1.15654,1.15654,1.15654,1.15654,1.15654,1.15654
2020-03-10,1.14407,1.14576,1.12744,1.12884,-0.01536000000000004,0.01536000000000004,0.003675391816148767,0.0027190476190476166,4.179146270204983,-0.013424226533822792,0.013424226533822792,0.0032947407081644507,4.074440972109647,0.018319999999999892,0.005437896825396825,3.3689495384390655,1,1,1,1,1,1,1.12884,1.12884,1.12884,1.12884,1.12884,1.12884
2020-03-12,1.12583,1.13329,1.10549,1.11655,-0.009280000000000177,0.009280000000000177,0.0036779112147210156,0.002720357142857141,2.523171294308719,-0.008242807528667895,0.008242807528667895,0.003297949798570782,2.4993732567548617,0.027799999999999825,0.005526746031746032,5.030084581472461,1,0,1,0,1,1,1.11655,,1.11655,,1.11655,1.11655
2020-03-17,1.11743,1.11888,1.09548,1.10034,-0.017079999999999984,0.017079999999999984,0.003869754227377665,0.002813809523809521,4.413716995038786,-0.015285210574358776,0.015285210574358776,0.0034699967886748675,4.404963896291079,0.023400000000000087,0.005692658730158733,4.11055731762575,1,1,1,1,1,1,1.10034,1.10034,1.10034,1.10034,1.10034,1.10034
2020-03-18,1.1005,1.10448,1.08012,1.09104,-0.009300000000000086,0.009300000000000086,0.003910069793678548,0.0028407936507936484,2.378474168168429,-0.00845193303887897,0.00845193303887897,0.0035072958376491793,2.409814692034651,0.024359999999999937,0.005770674603174606,4.2213435473555965,1,0,1,0,1,1,1.09104,,1.09104,,1.09104,1.09104
2020-03-19,1.09104,1.09817,1.06538,1.06619,-0.02485000000000004,0.02485000000000004,0.004208714389806269,0.002936230158730156,5.904415861572375,-0.022776433494647343,0.022776433494647343,0.0037867462378923878,6.0147768199339815,0.0327900000000001,0.005886111111111114,5.570740915526206,1,1,1,1,1,1,1.06619,1.06619,1.06619,1.06619,1.06619,1.06619
