date,open,high,low,close,move,abs_move,st_dev,avg_move,st_dev_move,pct_move,abs_pct_move,st_dev_pct,st_dev_pct_move,diff,avg_diff,avg_diff_multiple,2_st_dev_move,3_st_dev_move,2_st_dev_pct_move,3_st_dev_pct_move,2_mean_diff,3_mean_diff,2_st_dev_move_price,3_st_dev_move_price,2_st_dev_pct_move_price,3_st_dev_pct_move_price,2_mean_diff_move_price,3_mean_diff_move_price
2020-03-12,1.28131,1.28481,1.24898,1.2576,-0.023800000000000043,0.023800000000000043,0.006729138670924509,0.005100820105820103,3.5368568198536154,-0.01857343530513504,0.01857343530513504,0.005157780404015504,3.6010519739605438,0.03583000000000003,0.010248002645502642,3.4962910568455112,1,1,1,1,1,1,1.2576,1.2576,1.2576,1.2576,1.2576,1.2576
2020-03-13,1.25763,1.26237,1.22535,1.22924,-0.02835999999999994,0.02835999999999994,0.006805150469935436,0.005131481481481478,4.167431730612271,-0.022550890585241682,0.022550890585241682,0.0052205180859105525,4.319665254317072,0.03702000000000005,0.010287989417989415,3.5983707307540063,1,1,1,1,1,1,1.22924,1.22924,1.22924,1.22924,1.22924,1.22924
2020-03-18,1.206,1.21291,1.14449,1.15784,-0.047940000000000094,0.047940000000000094,0.007061802839059471,0.0052121164021164,6.788634728633262,-0.039758496574831305,0.039758496574831305,0.005449148986082635,7.296276294954725,0.06841999999999993,0.010419325396825392,6.566643942308055,1,1,1,1,1,1,1.15784,1.15784,1.15784,1.15784,1.15784,1.15784
2020-03-19,1.15762,1.17912,1.14378,1.14619,-0.011649999999999938,0.011649999999999938,0.006998393858512449,0.005190198412698409,1.6646676702583036,-0.010061839286948057,0.010061839286948057,0.005398977082168729,1.8636566026885764,0.03533999999999993,0.010414365079365075,3.3933897775508437,0,0,0,0,1,1,,,,,1.14619,1.14619
2020-03-20,1.1462,1.1933,1.14091,1.16473,0.01854,0.01854,0.007027442962854035,0.005205899470899469,2.6382284563531204,0.016175328697685374,0.016175328697685374,0.005428321129774457,2.9798032045236513,0.05238999999999994,0.010471693121693118,5.003011393780154,1,0,1,0,1,1,1.16473,,1.16473,,1.16473,1.16473
2020-03-25,1.17557,1.19724,1.16375,1.18923,0.014329999999999954,0.014329999999999954,0.007104735694622616,0.005262619047619046,2.016964545330792,0.012196782704911016,0.012196782704911016,0.005502685482926117,2.2165145986910444,0.03349000000000002,0.01055965608465608,3.1715048038982383,1,0,1,0,1,1,1.18923,,1.18923,,1.18923,1.18923
2020-03-26,1.189,1.22291,1.17753,1.21602,0.02679000000000009,0.02679000000000009,0.007169990691534858,0.005292275132275131,3.7364065244365383,0.02252718145354565,0.02252718145354565,0.005562348432385594,4.04994072690339,0.045379999999999976,0.010610343915343911,4.276958443766814,1,1,1,1,1,1,1.21602,1.21602,1.21602,1.21602,1.21602,1.21602
2020-03-27,1.21601,1.2485,1.21296,1.24502,0.028999999999999915,0.028999999999999915,0.0072475039891449905,0.005329179894179893,4.001377583708116,0.02384829196888202,0.02384829196888202,0.005629790011218711,4.236089076388029,0.035539999999999905,0.010649642857142854,3.337201113384076,1,1,1,1,1,1,1.24502,1.24502,1.24502,1.24502,1.24502,1.24502
2022-06-16,1.21725,1.24064,1.20405,1.23498,0.017749999999999932,0.017749999999999932,0.007318665348315957,0.00539564814814815,2.4253055926493827,0.014582289296188832,0.014582289296188832,0.005707626838155106,2.554877834463038,0.0365899999999999,0.010823730158730158,3.3805351263757526,1,0,1,0,1,1,1.23498,,1.23498,,1.23498,1.23498
2022-09-23,1.1256,1.12732,1.08388,1.08516,-0.040240000000000054,0.040240000000000054,0.007420712425477997,0.005441772486772491,5.4226599405525455,-0.03575617558201533,0.03575617558201533,0.005836305381028128,6.126508681030755,0.043440000000000145,0.011027447089947092,3.9392617027019043,1,1,1,1,1,1,1.08516,1.08516,1.08516,1.08516,1.08516,1.08516
2022-09-26,1.07954,1.09292,1.03514,1.06852,-0.016639999999999988,0.016639999999999988,0.007444053311228375,0.0054602380952381,2.23534132606234,-0.015334144273655488,0.015334144273655488,0.005861782508631896,2.6159524429770054,0.05777999999999994,0.011096851851851853,5.206882165445649,1,0,1,0,1,1,1.06852,,1.06852,,1.06852,1.06852
2022-09-28,1.07305,1.09149,1.05384,1.08875,0.015660000000000007,0.015660000000000007,0.0074660816025042395,0.005476190476190482,2.0974857808609273,0.014593370546738862,0.014593370546738862,0.005886767904280499,2.47901238574863,0.03764999999999996,0.011153134920634921,3.3757324974471516,1,0,1,0,1,1,1.08875,,1.08875,,1.08875,1.08875
2022-09-29,1.08852,1.11188,1.07617,1.1108,0.022049999999999903,0.022049999999999903,0.007504278013470155,0.005495000000000004,2.938323974727512,0.020252583237657773,0.020252583237657773,0.0059291176851365085,3.415783648286868,0.03570999999999991,0.011185515873015873,3.192521507760524,1,0,1,1,1,1,1.1108,,1.1108,1.1108,1.1108,1.1108
2022-11-10,1.1356,1.17313,1.13486,1.17122,0.03564999999999996,0.03564999999999996,0.007947686165719328,0.005807910052910056,4.485582250815178,0.031393925517581446,0.031393925517581446,0.006389806665303846,4.913126039954858,0.038270000000000026,0.01164287037037037,3.2869901306633396,1,1,1,1,1,1,1.17122,1.17122,1.17122,1.17122,1.17122,1.17122
